dataset,weight_type,reg_type,alpha,feats_weighting,lr,n_epochs,verbose,full_score,partial_score
Spam,loss,var,0,True,0.01,300,False,0.9561403393745422,0.968421055873235 +- 0.007373980624995641
Iris,loss,var,0,True,0.01,300,False,0.8333333134651184,0.7916666716337204 +- 0.03632414715134963
Banknote,loss,var,0,True,0.01,300,False,0.9345454573631287,0.8618181794881821 +- 0.08746192938916741
Accent,loss,var,0,True,0.01,300,False,0.6818181872367859,0.666666661699613 +- 0.03606782142108356
Wine,loss,var,0,True,0.01,300,False,0.5204081535339355,0.5132653062993829 +- 0.009797074649223489
Wifi,loss,var,0,True,0.01,300,False,0.9750000238418579,0.9582143000194004 +- 0.028053354799973194
Sonar,loss,var,0,True,0.01,300,False,0.8095238208770752,0.8079365144173304 +- 0.00958972256583903
Breast,loss,var,0,True,0.01,300,False,0.9736841917037964,0.9707602262496948 +- 0.007624791905793536
Parkinson,loss,var,0,True,0.01,300,False,0.8461538553237915,0.8484848575158552 +- 0.013186139655751963
